link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20387269,20387269,Mol,2400,550000.0,HOUSE,HOUSE,350.0,,0,,null,4.0,0,1678,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20371213,20371213,Antwerpen,2000,269000.0,APARTMENT,APARTMENT,,,0,null,null,2.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20160173,20160173,Oostende,8400,375000.0,APARTMENT,APARTMENT,67.0,0.0,0,4,null,,0,null,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gentbrugge/9050/20377316,20377316,Gentbrugge,9050,449000.0,HOUSE,HOUSE,172.0,,0,,null,2.0,0,240,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20373628,20373628,Oudenaarde,9700,329000.0,APARTMENT,APARTMENT,101.0,0.0,0,8,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/20366744,20366744,Assebroek,8310,219000.0,HOUSE,HOUSE,80.0,,0,null,null,4.0,0,769,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/vosselaar/2350/20322948,20322948,Vosselaar,2350,685000.0,APARTMENT,APARTMENT,189.0,,0,38,null,3.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20133111,20133111,Gent,9000,285000.0,APARTMENT,APARTMENT,68.0,,0,13,1,,0,null,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/bilzen/3740/20380089,20380089,Bilzen,3740,349000.0,APARTMENT,APARTMENT,90.0,0.0,0,27,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20276213,20276213,Liège,4000,185000.0,APARTMENT,APARTMENT,78.0,,0,,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20387345,20387345,AALST,9300,298000.0,HOUSE,HOUSE,115.0,,0,10,null,,0,68,NOT_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20065845,20065845,Knokke,8300,1445000.0,APARTMENT,APARTMENT,97.0,0.0,0,,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/deurne/2100/20266173,20266173,DEURNE,2100,215000.0,HOUSE,HOUSE,88.0,,0,null,40,2.0,0,61,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/20312951,20312951,WATERLOO,1410,415000.0,APARTMENT,APARTMENT,110.0,,0,10,null,4.0,0,null,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20179536,20179536,Ixelles,1050,400000.0,APARTMENT,APARTMENT,67.0,0.0,0,5,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20%282000%29/2000/20378566,20378566,Antwerpen (2000),2000,415000.0,APARTMENT,APARTMENT,75.0,0.0,0,5,null,,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6001/20366987,20366987,Charleroi,6001,179000.0,HOUSE,HOUSE,,,0,null,50,3.0,0,190,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/kinrooi/3640/20343719,20343719,KINROOI,3640,212000.0,APARTMENT,APARTMENT,84.0,,0,11,null,,0,null,INSTALLED,,FOR_SALE
