link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/20349336,20349336,Merksem,2170,425000.0,HOUSE,HOUSE,239.0,,0,,null,3.0,0,228,SEMI_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20387269,20387269,Mol,2400,550000.0,HOUSE,HOUSE,350.0,,0,,null,4.0,0,1678,null,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gistel/8470/20343228,20343228,Gistel,8470,689000.0,HOUSE,HOUSE,700.0,,0,40,400,,0,1418,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20371213,20371213,Antwerpen,2000,269000.0,APARTMENT,APARTMENT,,,0,null,null,2.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gentbrugge/9050/20377316,20377316,Gentbrugge,9050,449000.0,HOUSE,HOUSE,172.0,,0,,null,2.0,0,240,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20373628,20373628,Oudenaarde,9700,329000.0,APARTMENT,APARTMENT,101.0,0.0,0,8,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/20366744,20366744,Assebroek,8310,219000.0,HOUSE,HOUSE,80.0,,0,null,null,4.0,0,769,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/vosselare/9850/20224943,20224943,Vosselare,9850,469000.0,HOUSE,HOUSE,252.0,,0,,null,,0,1050,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/20281774,20281774,MARCHIN,4570,119000.0,HOUSE,HOUSE,88.0,0.0,0,null,null,2.0,0,130,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herve/4650/20042320,20042320,Herve,4650,249000.0,HOUSE,HOUSE,169.0,0.0,0,15,280,3.0,0,550,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/20150450,20150450,Lessines,7860,175000.0,HOUSE,HOUSE,300.0,,0,,60,2.0,0,210,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/bilzen/3740/20380089,20380089,Bilzen,3740,349000.0,APARTMENT,APARTMENT,90.0,0.0,0,27,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20387345,20387345,AALST,9300,298000.0,HOUSE,HOUSE,115.0,,0,10,null,,0,68,NOT_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veldegem/8210/20337431,20337431,Veldegem,8210,435000.0,HOUSE,HOUSE,195.0,,0,,null,,0,315,null,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/maaseik/3680/20279876,20279876,Maaseik,3680,749000.0,HOUSE,HOUSE,405.0,0.0,0,81,null,2.0,0,270,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/deurne/2100/20266173,20266173,DEURNE,2100,215000.0,HOUSE,HOUSE,88.0,,0,null,40,2.0,0,61,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/20312951,20312951,WATERLOO,1410,415000.0,APARTMENT,APARTMENT,110.0,,0,10,null,4.0,0,null,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/20341394,20341394,Blankenberge,8370,179000.0,HOUSE,HOUSE,145.0,,0,null,null,2.0,0,95,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20%282000%29/2000/20378566,20378566,Antwerpen (2000),2000,415000.0,APARTMENT,APARTMENT,75.0,0.0,0,5,null,,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kapellen/2950/20319175,20319175,Kapellen,2950,299900.0,HOUSE,HOUSE,110.0,,0,,null,3.0,0,128,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6001/20366987,20366987,Charleroi,6001,179000.0,HOUSE,HOUSE,,,0,null,50,3.0,0,190,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20336129,20336129,MECHELEN,2800,285000.0,HOUSE,HOUSE,148.0,,1,,null,2.0,0,153,USA_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20377672,20377672,Seraing,4100,275000.0,HOUSE,HOUSE,240.0,,0,null,450,4.0,0,520,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/neupre-plainevaux/4122/20149821,20149821,Neupré Plainevaux,4122,219000.0,HOUSE,HOUSE,110.0,0.0,0,36,56,3.0,0,233,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/20206788,20206788,Aalter,9880,210000.0,APARTMENT,APARTMENT,75.0,,0,null,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/20347201,20347201,Wavre,1300,110000.0,HOUSE,HOUSE,43.0,0.0,0,null,null,2.0,0,26,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20376680,20376680,DEINZE,9800,335000.0,APARTMENT,APARTMENT,82.0,,0,null,null,2.0,0,null,USA_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20371212,20371212,Evere,1140,195000.0,APARTMENT,APARTMENT,55.0,0.0,0,4,null,2.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/brugge%20sint-kruis/8000/20373410,20373410,Brugge Sint-Kruis,8000,239000.0,APARTMENT,APARTMENT,80.0,0.0,0,3,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20374459,20374459,Kortrijk,8500,390000.0,HOUSE,HOUSE,107.0,,0,,null,3.0,0,107,null,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beersel/1653/20376358,20376358,BEERSEL,1653,550000.0,HOUSE,HOUSE,850.0,,0,null,480,3.0,0,944,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20326746,20326746,Waterloo,1410,350000.0,HOUSE,HOUSE,175.0,,0,5,null,3.0,0,351,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sambreville/5060/20377049,20377049,Sambreville,5060,290000.0,HOUSE,HOUSE,205.0,,0,null,null,4.0,0,700,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20369758,20369758,Diepenbeek,3590,398000.0,HOUSE,HOUSE,280.0,,0,28,null,,0,1737,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20360612,20360612,Gent,9000,795000.0,HOUSE,HOUSE,245.0,,0,null,226,,0,322,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bande/6951/20091139,20091139,Bande,6951,180000.0,HOUSE,HOUSE,110.0,0.0,0,12,325,3.0,0,325,NOT_INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gentbrugge/9050/20342312,20342312,Gentbrugge,9050,475000.0,HOUSE,HOUSE,218.0,0.0,0,,null,,0,127,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ferrieres/4190/20354944,20354944,Ferrières,4190,395000.0,HOUSE,HOUSE,170.0,0.0,0,,null,4.0,0,1756,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ath/7800/20362442,20362442,ATH,7800,479000.0,HOUSE,HOUSE,119.0,,0,null,null,4.0,0,817,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20340137,20340137,Lede,9340,389000.0,HOUSE,HOUSE,165.0,0.0,0,,120,3.0,0,290,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/habay-habay-la-neuve/6720/20257825,20257825,Habay (Habay-la-Neuve),6720,420000.0,HOUSE,HOUSE,180.0,,1,,354,3.0,0,461,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/waremme/4300/20355681,20355681,Waremme,4300,395000.0,HOUSE,HOUSE,240.0,0.0,0,,500,3.0,1,785,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20373556,20373556,BLANKENBERGE,8370,547000.0,APARTMENT,APARTMENT,116.0,,0,19,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20142419,20142419,Knokke-Heist,8300,1495000.0,HOUSE,HOUSE,234.0,,0,,null,2.0,0,319,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oud-turnhout/2360/20325593,20325593,Oud-Turnhout,2360,349000.0,HOUSE,HOUSE,147.0,,0,,null,4.0,0,895,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-joost-ten-node/1210/20367170,20367170,Sint-Joost-ten-Node,1210,149000.0,APARTMENT,APARTMENT,74.0,0.0,0,null,null,2.0,0,null,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20328593,20328593,Ixelles,1050,460000.0,HOUSE,HOUSE,160.0,0.0,0,null,null,2.0,0,38,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20354977,20354977,Liège,4020,157000.0,HOUSE,HOUSE,118.0,1.0,0,54,54,2.0,0,145,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zeebrugge/8380/11378005,11378005,Zeebrugge,8380,325000.0,HOUSE,HOUSE,134.0,,0,,null,3.0,0,147,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beaufays/4052/20286486,20286486,BEAUFAYS,4052,489000.0,HOUSE,HOUSE,206.0,,0,,null,4.0,0,2000,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liege/4032/20368552,20368552,LIÈGE,4032,279000.0,HOUSE,HOUSE,290.0,,0,36,180,2.0,0,318,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/villersle-bouillet/4530/20308798,20308798,Villersle-Bouillet,4530,330000.0,HOUSE,HOUSE,135.0,0.0,0,,100,3.0,0,325,NOT_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20373540,20373540,BLANKENBERGE,8370,547000.0,APARTMENT,APARTMENT,116.0,,0,19,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-katelijne-waver/2860/20383163,20383163,SINT-KATELIJNE-WAVER,2860,283000.0,APARTMENT,APARTMENT,91.0,,0,11,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20361761,20361761,Gent,9000,495000.0,HOUSE,HOUSE,340.0,0.0,0,21,null,2.0,0,151,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20378732,20378732,Blankenberge,8370,260000.0,APARTMENT,APARTMENT,63.0,0.0,0,2,null,2.0,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zandvliet/2040/20356881,20356881,Zandvliet,2040,265000.0,HOUSE,HOUSE,162.0,0.0,0,null,283,,0,283,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zeebrugge/8380/20252390,20252390,Zeebrugge,8380,250000.0,HOUSE,HOUSE,185.0,,0,null,null,3.0,0,258,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/11430796,11430796,Erpe-Mere,9420,245000.0,HOUSE,HOUSE,162.0,,0,,null,3.0,0,556,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20375465,20375465,Gent,9000,474000.0,APARTMENT,APARTMENT,79.0,0.0,0,12,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/20384317,20384317,Leuven,3000,430000.0,HOUSE,HOUSE,167.0,,0,null,null,2.0,0,88,null,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2140/20276077,20276077,ANTWERPEN,2140,359900.0,HOUSE,HOUSE,130.0,,0,1,50,2.0,0,125,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/stabroek/2940/20157265,20157265,Stabroek,2940,495000.0,HOUSE,HOUSE,188.0,,0,null,279,,0,279,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mariakerke/9030/20356907,20356907,Mariakerke,9030,349000.0,HOUSE,HOUSE,128.0,0.0,0,null,28,,0,80,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20374967,20374967,NINOVE,9400,215000.0,HOUSE,HOUSE,133.0,,0,null,null,2.0,0,210,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-leger/6747/20283697,20283697,Saint-Léger,6747,99000.0,HOUSE,HOUSE,150.0,,0,null,90,3.0,0,208,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20366387,20366387,GEMBLOUX,5030,220000.0,HOUSE,HOUSE,179.0,,0,null,269,3.0,0,440,null,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/20383437,20383437,WETTEREN,9230,175000.0,APARTMENT,APARTMENT,67.0,,0,3,null,2.0,0,null,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/braine-lalleud/1420/20389398,20389398,Braine-l'Alleud,1420,1995000.0,HOUSE,HOUSE,480.0,,1,1,1,4.0,1,4189,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/stembert/4801/20386192,20386192,Stembert,4801,155000.0,HOUSE,HOUSE,91.0,0.0,0,11,null,2.0,0,60,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20344152,20344152,Geraardsbergen,9500,225000.0,HOUSE,HOUSE,140.0,,0,,null,2.0,0,120,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20382771,20382771,Zottegem,9620,563907.0,HOUSE,HOUSE,,0.0,0,null,null,,0,1123,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20332291,20332291,Oosterzele,9860,675000.0,HOUSE,HOUSE,219.0,,1,,null,4.0,0,1983,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/hoevenen/2940/20348530,20348530,HOEVENEN,2940,489000.0,HOUSE,HOUSE,193.0,,1,,null,2.0,0,231,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20378734,20378734,Blankenberge,8370,275000.0,APARTMENT,APARTMENT,63.0,0.0,0,2,null,2.0,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20380676,20380676,Maldegem,9990,416000.0,HOUSE,HOUSE,202.0,0.0,0,null,null,,0,185,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bredene/8450/20306427,20306427,Bredene,8450,215000.0,HOUSE,HOUSE,243.0,,0,,null,,0,92,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heule/8501/20357035,20357035,Heule,8501,631253.0,HOUSE,HOUSE,216.0,,0,null,null,,0,668,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20388117,20388117,Roeselare,8800,118100.0,APARTMENT,APARTMENT,75.0,,0,null,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20369796,20369796,Uccle,1180,950000.0,APARTMENT,APARTMENT,202.0,0.0,1,18,null,3.0,0,null,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gits/8830/20000357,20000357,Gits,8830,299900.0,HOUSE,HOUSE,141.0,,0,,22,,0,153,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aalter/9880/20232205,20232205,Aalter,9880,548000.0,HOUSE,HOUSE,416.0,0.0,0,null,null,,0,1100,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/handzame/8610/20366979,20366979,Handzame,8610,390000.0,HOUSE,HOUSE,145.0,,0,19,220,2.0,1,392,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20360739,20360739,Balen,2490,439000.0,HOUSE,HOUSE,265.0,,0,,null,4.0,0,1840,INSTALLED,AS_NEW,FOR_SALE
