postal_code,type_of_property,construction_year,living_area,bedrooms,nr_bathrooms,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
2620,1,-0.04424297069443065,0.3258426966292135,0.0,0.0,0,0,0.0,-326.3868530411787,-0.5897621634673427,0,-1.2992124206439237,0,2
1367,1,-2.182174005177189,1.303370786516854,1.0,0.0,0,0,11.967298126785904,0.0,-0.5897621634673427,0,-0.8853019054198292,0,0
6700,1,-0.28562228103925824,1.202247191011236,0.0,1.0,0,0,-4.241824531696476,568.6131469588213,1.4102378365326573,0,2.440942837405122,0,1
8500,0,0.2316190982710866,-0.33707865168539325,-1.0,0.0,0,0,0.0,0.0,-0.5897621634673427,0,0.0,4,1
4480,1,0.0,-0.06741573033707865,1.0,0.0,0,0,38.828129960842425,-144.3868530411787,0.41023783653265733,0,-0.5811026110985069,0,1
8300,0,0.05920530516763831,-0.5617977528089888,1.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,2
9600,1,-3.389070556901327,1.348314606741573,1.0,0.0,0,1,0.0,0.0,-0.5897621634673427,0,-1.2343830628377401,4,2
8800,0,1.5074811672366037,-0.6853932584269663,-2.0,0.0,0,0,-2.852471160969415,0.0,-0.5897621634673427,0,0.0,0,1
9150,1,0.7833432362021211,2.438202247191011,0.0,0.0,0,1,0.0,0.0,1.4102378365326573,0,1.8674523645042682,4,1
8370,0,0.0,-0.9775280898876404,-2.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,1
9000,1,-4.251139522418568,-0.6966292134831461,-2.0,0.0,0,0,-6.557413482908244,0.0,0.0,0,-1.6732279464488282,1,1
1150,0,1.6109294430986727,-0.42696629213483145,-2.0,0.0,0,0,11.967298126785904,568.6131469588213,-0.5897621634673427,0,0.0,1,0
1130,0,1.3350673741331556,-0.651685393258427,-1.0,1.0,0,0,-6.557413482908244,-351.3868530411787,0.41023783653265733,0,0.0,0,4
3600,0,1.783343236202121,-0.4157303370786517,-1.0,-1.0,0,0,-0.5368822097576462,0.0,0.0,0,0.0,0,1
8500,1,0.0,0.9101123595505618,1.0,1.0,0,0,0.0,0.0,0.0,0,0.10957939322121679,1,1
2610,0,-0.3545877982806375,-1.101123595505618,-2.0,0.0,0,0,-9.79923801460472,0.0,-0.5897621634673427,0,0.0,0,0
9340,1,0.0,0.47191011235955055,0.0,0.0,0,0,0.0,0.0,0.0,0,0.7204714187025608,1,1
3350,1,0.2316190982710866,0.8202247191011236,1.0,0.0,0,0,-4.70494232193883,0.0,0.0,0,0.09960564586641935,0,4
8572,1,-0.8028636603496031,1.3146067415730338,0.0,0.0,0,0,13.819769287755319,68.61314695882129,1.4102378365326573,0,0.3090543403171659,4,1
