link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,price_per_sqm
https://www.immoweb.be/en/classified/house/for-sale/paturages/7340/20384325,20384325,PATURAGES,7340,135000,HOUSE,HOUSE,128.0,0.0,0,0.0,0.0,2.0,0,120.0,UNKNOWN,UNKNOWN,FOR_SALE,1054.6875
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/11125329,11125329,Nieuwpoort,8620,499000,APARTMENT,APARTMENT,76.0,1.0,0,0.0,0.0,0.0,0,0.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,6565.789473684211
https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20379680,20379680,Mol,2400,520000,HOUSE,HOUSE,300.0,0.0,0,0.0,1400.0,3.0,0,1600.0,UNKNOWN,UNKNOWN,FOR_SALE,1733.3333333333333
https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20260335,20260335,Saint-Gilles,1060,595000,APARTMENT,APARTMENT,155.0,0.0,0,0.0,0.0,3.0,0,0.0,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE,3838.7096774193546
https://www.immoweb.be/en/classified/apartment/for-sale/saint-georges-sur-meuse/4470/20282955,20282955,Saint-Georges-sur-Meuse,4470,418000,APARTMENT,APARTMENT,133.0,0.0,0,16.0,0.0,4.0,0,0.0,INSTALLED,UNKNOWN,FOR_SALE,3142.8571428571427
https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/20021764,20021764,Erpe-Mere,9420,575226,HOUSE,HOUSE,209.0,0.0,0,0.0,0.0,0.0,0,305.0,HYPER_EQUIPPED,GOOD,FOR_SALE,2752.2775119617227
https://www.immoweb.be/en/classified/apartment/for-sale/la%20calamine/4728/20388816,20388816,La Calamine,4728,174000,APARTMENT,APARTMENT,95.0,0.0,0,1.0,400.0,0.0,0,0.0,INSTALLED,GOOD,FOR_SALE,1831.578947368421
https://www.immoweb.be/en/classified/house/for-sale/sint-katelijne-waver/2860/20369975,20369975,Sint-Katelijne-Waver,2860,238000,HOUSE,HOUSE,137.0,0.0,0,0.0,43.0,2.0,0,125.0,UNKNOWN,TO_RENOVATE,FOR_SALE,1737.2262773722628
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20381242,20381242,Wevelgem,8560,340000,APARTMENT,APARTMENT,152.0,0.0,0,14.0,0.0,0.0,0,0.0,UNKNOWN,AS_NEW,FOR_SALE,2236.842105263158
https://www.immoweb.be/en/classified/house/for-sale/engis/4480/20334846,20334846,Engis,4480,130000,HOUSE,HOUSE,161.0,0.0,0,19.0,32.0,2.0,0,158.0,NOT_INSTALLED,TO_RENOVATE,FOR_SALE,807.4534161490683
https://www.immoweb.be/en/classified/house/for-sale/li%C3%88ge/4032/20368552,20368552,LIÈGE,4032,279000,HOUSE,HOUSE,290.0,0.0,0,36.0,180.0,2.0,0,318.0,INSTALLED,GOOD,FOR_SALE,962.0689655172414
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20386418,20386418,Bruxelles,1000,215000,APARTMENT,APARTMENT,45.0,1.0,0,6.0,0.0,0.0,0,0.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,4777.777777777777
https://www.immoweb.be/en/classified/house/for-sale/sijsele/8340/20340100,20340100,Sijsele,8340,349000,HOUSE,HOUSE,126.0,0.0,0,0.0,0.0,0.0,0,686.0,INSTALLED,TO_RENOVATE,FOR_SALE,2769.84126984127
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/20344738,20344738,GENK,3600,209900,APARTMENT,APARTMENT,91.0,0.0,0,0.0,0.0,2.0,0,0.0,UNKNOWN,GOOD,FOR_SALE,2306.5934065934066
https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20348185,20348185,Roeselare,8800,373000,HOUSE,HOUSE,138.0,0.0,0,0.0,0.0,0.0,0,277.0,INSTALLED,GOOD,FOR_SALE,2702.8985507246375
https://www.immoweb.be/en/classified/house/for-sale/seraing%20jemeppesur-meuse/4101/20373425,20373425,Seraing Jemeppesur-Meuse,4101,135000,HOUSE,HOUSE,85.0,0.0,0,10.0,0.0,3.0,0,0.0,UNKNOWN,JUST_RENOVATED,FOR_SALE,1588.235294117647
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20376683,20376683,DEINZE,9800,440000,HOUSE,HOUSE,185.0,0.0,0,0.0,0.0,3.0,0,242.0,INSTALLED,GOOD,FOR_SALE,2378.3783783783783
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/20387160,20387160,JODOIGNE,1370,149000,HOUSE,HOUSE,92.0,0.0,0,0.0,0.0,2.0,0,213.0,UNKNOWN,TO_RENOVATE,FOR_SALE,1619.5652173913043
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20344806,20344806,Schaerbeek,1030,675000,APARTMENT,APARTMENT,167.0,0.0,0,37.0,90.0,2.0,0,0.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,4041.916167664671
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20359894,20359894,Anderlecht,1070,320000,APARTMENT,APARTMENT,107.0,0.0,0,20.0,0.0,2.0,0,0.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,2990.654205607477
https://www.immoweb.be/en/classified/house/for-sale/liege/4032/20368552,20368552,LIÈGE,4032,279000,HOUSE,HOUSE,290.0,0.0,0,36.0,180.0,2.0,0,318.0,INSTALLED,GOOD,FOR_SALE,962.0689655172414
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20376694,20376694,Tournai,7500,125000,HOUSE,HOUSE,130.0,0.0,0,0.0,150.0,2.0,0,250.0,UNKNOWN,TO_BE_DONE_UP,FOR_SALE,961.5384615384615
https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20240188,20240188,Zottegem,9620,249000,HOUSE,HOUSE,212.0,0.0,0,0.0,0.0,2.0,0,310.0,UNKNOWN,TO_RENOVATE,FOR_SALE,1174.5283018867924
https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20373032,20373032,Sint-Niklaas,9100,215000,HOUSE,HOUSE,128.0,0.0,0,0.0,0.0,2.0,0,60.0,UNKNOWN,AS_NEW,FOR_SALE,1679.6875
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20038356,20038356,Brussel,1000,450000,APARTMENT,APARTMENT,116.0,0.0,0,0.0,0.0,2.0,0,0.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3879.310344827586
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20344101,20344101,Liège,4000,170000,HOUSE,HOUSE,65.0,0.0,0,40.0,0.0,3.0,0,140.0,INSTALLED,GOOD,FOR_SALE,2615.3846153846152
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20326817,20326817,Ixelles,1050,228000,APARTMENT,APARTMENT,55.0,0.0,0,0.0,0.0,3.0,0,0.0,INSTALLED,AS_NEW,FOR_SALE,4145.454545454545
https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/20384152,20384152,SCHOTEN,2900,159000,APARTMENT,APARTMENT,56.0,0.0,0,0.0,0.0,2.0,0,0.0,INSTALLED,GOOD,FOR_SALE,2839.285714285714
https://www.immoweb.be/en/classified/house/for-sale/gent-wondelgem/9032/20353009,20353009,Gent Wondelgem,9032,535000,HOUSE,HOUSE,164.0,0.0,0,0.0,400.0,3.0,0,632.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3262.1951219512193
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/11344052,11344052,Nieuwpoort,8620,199000,APARTMENT,APARTMENT,51.0,0.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,JUST_RENOVATED,FOR_SALE,3901.9607843137255
https://www.immoweb.be/en/classified/house/for-sale/fl%C3%89nu/7012/20378652,20378652,FLÉNU,7012,165000,HOUSE,HOUSE,129.0,0.0,0,0.0,0.0,2.0,0,190.0,UNKNOWN,TO_BE_DONE_UP,FOR_SALE,1279.0697674418604
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20381771,20381771,Blankenberge,8370,375000,APARTMENT,APARTMENT,100.0,0.0,0,12.0,0.0,2.0,0,0.0,INSTALLED,AS_NEW,FOR_SALE,3750.0
https://www.immoweb.be/en/classified/house/for-sale/hastiere/5541/20331746,20331746,Hastière,5541,299000,HOUSE,HOUSE,146.0,0.0,0,0.0,3278.0,4.0,0,3278.0,INSTALLED,AS_NEW,FOR_SALE,2047.945205479452
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1190/20388611,20388611,Bruxelles,1190,229000,APARTMENT,APARTMENT,55.0,0.0,0,16.0,0.0,2.0,0,0.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,4163.636363636364
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20237612,20237612,BERCHEM,2600,240000,APARTMENT,APARTMENT,90.0,0.0,0,17.0,0.0,0.0,0,0.0,INSTALLED,GOOD,FOR_SALE,2666.6666666666665
https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/20201481,20201481,Denderleeuw,9470,493262,HOUSE,HOUSE,186.0,0.0,0,0.0,0.0,0.0,0,220.0,HYPER_EQUIPPED,GOOD,FOR_SALE,2651.94623655914
https://www.immoweb.be/en/classified/apartment/for-sale/opwijk/1745/20379129,20379129,Opwijk,1745,410000,APARTMENT,APARTMENT,117.0,0.0,0,24.0,0.0,2.0,0,0.0,UNKNOWN,UNKNOWN,FOR_SALE,3504.2735042735044
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2060/20358577,20358577,Antwerpen,2060,215000,HOUSE,HOUSE,158.0,0.0,0,0.0,0.0,2.0,0,58.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,1360.759493670886
https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/20368355,20368355,Mouscron,7700,259000,HOUSE,HOUSE,289.0,0.0,0,0.0,0.0,2.0,0,216.0,UNKNOWN,AS_NEW,FOR_SALE,896.1937716262976
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20386635,20386635,ANTWERPEN,2060,219000,APARTMENT,APARTMENT,59.0,0.0,0,0.0,28.0,2.0,0,0.0,SEMI_EQUIPPED,GOOD,FOR_SALE,3711.864406779661
https://www.immoweb.be/en/classified/apartment/for-sale/namur/5004/20386480,20386480,Namur,5004,200000,APARTMENT,APARTMENT,56.0,0.0,0,6.0,0.0,2.0,0,0.0,UNKNOWN,UNKNOWN,FOR_SALE,3571.4285714285716
https://www.immoweb.be/en/classified/house/for-sale/zele/9240/20375588,20375588,Zele,9240,498500,HOUSE,HOUSE,250.0,0.0,0,0.0,65.0,2.0,1,189.0,UNKNOWN,AS_NEW,FOR_SALE,1994.0
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20366133,20366133,Aalst,9300,195000,APARTMENT,APARTMENT,75.0,0.0,0,0.0,0.0,2.0,0,0.0,INSTALLED,GOOD,FOR_SALE,2600.0
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20379656,20379656,Oostende,8400,420000,HOUSE,HOUSE,141.0,0.0,0,0.0,0.0,0.0,0,226.0,UNKNOWN,GOOD,FOR_SALE,2978.723404255319
https://www.immoweb.be/en/classified/house/for-sale/beerse/2340/20357770,20357770,BEERSE,2340,415000,HOUSE,HOUSE,158.0,0.0,0,0.0,0.0,4.0,0,975.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,2626.5822784810125
https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20163135,20163135,Zottegem,9620,566352,HOUSE,HOUSE,186.0,0.0,0,0.0,0.0,0.0,0,584.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3044.9032258064517
